[2026-04-22 14:54:26.905] PUBLISH -> linear.x=0.25, angular.z=0.50
[2026-04-22 14:54:26.926] PUBLISH -> linear.x=0.25, angular.z=0.50
[2026-04-22 14:54:26.947] PUBLISH -> linear.x=0.25, angular.z=0.50
[2026-04-22 14:54:26.968] PUBLISH -> linear.x=0.25, angular.z=0.50
[2026-04-22 14:54:26.989] PUBLISH -> linear.x=0.25, angular.z=0.50
[2026-04-22 14:54:27.010] KEY PRESS: DOWN (Reverse)
[2026-04-22 14:54:27.010] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:27.031] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:27.052] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:27.074] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:27.095] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:27.116] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:27.137] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:27.158] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:27.179] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:27.200] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:27.221] KEY PRESS: RIGHT
[2026-04-22 14:54:27.222] PUBLISH -> linear.x=-0.25, angular.z=-0.50
[2026-04-22 14:54:27.243] PUBLISH -> linear.x=-0.25, angular.z=-0.50
[2026-04-22 14:54:27.264] PUBLISH -> linear.x=-0.25, angular.z=-0.50
[2026-04-22 14:54:27.285] PUBLISH -> linear.x=-0.25, angular.z=-0.50
[2026-04-22 14:54:27.306] PUBLISH -> linear.x=-0.25, angular.z=-0.50
[2026-04-22 14:54:27.327] KEY PRESS: UP (Forward)
[2026-04-22 14:54:27.327] PUBLISH -> linear.x=0.25, angular.z=-0.50
[2026-04-22 14:54:27.348] PUBLISH -> linear.x=0.25, angular.z=-0.50
[2026-04-22 14:54:27.369] PUBLISH -> linear.x=0.25, angular.z=-0.50
[2026-04-22 14:54:27.390] PUBLISH -> linear.x=0.25, angular.z=-0.50
[2026-04-22 14:54:27.412] PUBLISH -> linear.x=0.25, angular.z=-0.50
[2026-04-22 14:54:27.433] PUBLISH -> linear.x=0.25, angular.z=-0.50
[2026-04-22 14:54:27.454] PUBLISH -> linear.x=0.25, angular.z=-0.50
[2026-04-22 14:54:27.475] PUBLISH -> linear.x=0.25, angular.z=-0.50
[2026-04-22 14:54:27.496] PUBLISH -> linear.x=0.25, angular.z=-0.50
[2026-04-22 14:54:27.517] PUBLISH -> linear.x=0.25, angular.z=-0.50
[2026-04-22 14:54:27.538] PUBLISH -> linear.x=0.25, angular.z=-0.50
[2026-04-22 14:54:27.562] KEY PRESS: LEFT
[2026-04-22 14:54:27.563] PUBLISH -> linear.x=0.25, angular.z=0.50
[2026-04-22 14:54:27.584] PUBLISH -> linear.x=0.25, angular.z=0.50
[2026-04-22 14:54:27.605] PUBLISH -> linear.x=0.25, angular.z=0.50
[2026-04-22 14:54:27.627] PUBLISH -> linear.x=0.25, angular.z=0.50
[2026-04-22 14:54:27.648] PUBLISH -> linear.x=0.25, angular.z=0.50
[2026-04-22 14:54:27.670] PUBLISH -> linear.x=0.25, angular.z=0.50
[2026-04-22 14:54:27.691] PUBLISH -> linear.x=0.25, angular.z=0.50
[2026-04-22 14:54:27.712] PUBLISH -> linear.x=0.25, angular.z=0.50
[2026-04-22 14:54:27.733] KEY PRESS: DOWN (Reverse)
[2026-04-22 14:54:27.734] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:27.755] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:27.776] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:27.798] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:27.820] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:27.841] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:27.862] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:27.885] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:27.906] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:27.927] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:27.948] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:27.970] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:27.991] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.012] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.033] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.055] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.076] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.097] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.119] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.142] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.164] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.185] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.206] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.227] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.248] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.269] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.290] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.311] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.332] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.353] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.375] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.396] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.417] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.438] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.463] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.485] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.506] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.527] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.548] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.569] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.591] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.612] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.639] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.663] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.685] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.706] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.727] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.748] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.770] PUBLISH -> linear.x=-0.25, angular.z=0.50
[2026-04-22 14:54:28.791] PUBLISH -> linear.x=-0.25, angular.z=0.50
