[2026-04-24 11:19:03.607] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.628] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.649] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.670] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.691] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.712] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.733] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.754] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.775] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.795] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.816] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.837] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.858] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.879] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.900] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.920] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.941] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.963] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:03.984] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.005] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.026] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.047] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.068] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.089] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.110] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.131] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.152] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.173] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.194] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.215] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.236] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.257] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.278] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.299] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.320] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.340] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.361] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.382] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.403] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.424] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.445] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.466] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.487] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.508] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.529] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.550] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.571] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.592] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.613] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.634] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.655] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.676] PUBLISH -> linear.x=-0.60, angular.z=0.00
[2026-04-24 11:19:04.697] PUBLISH -> linear.x=-0.57, angular.z=0.00
[2026-04-24 11:19:04.718] PUBLISH -> linear.x=-0.54, angular.z=0.00
[2026-04-24 11:19:04.738] PUBLISH -> linear.x=-0.51, angular.z=0.00
[2026-04-24 11:19:04.759] PUBLISH -> linear.x=-0.48, angular.z=0.00
[2026-04-24 11:19:04.780] PUBLISH -> linear.x=-0.45, angular.z=0.00
[2026-04-24 11:19:04.801] PUBLISH -> linear.x=-0.42, angular.z=0.00
[2026-04-24 11:19:04.822] PUBLISH -> linear.x=-0.39, angular.z=0.00
[2026-04-24 11:19:04.843] PUBLISH -> linear.x=-0.36, angular.z=0.00
[2026-04-24 11:19:04.864] PUBLISH -> linear.x=-0.33, angular.z=0.00
[2026-04-24 11:19:04.884] PUBLISH -> linear.x=-0.30, angular.z=0.00
[2026-04-24 11:19:04.905] PUBLISH -> linear.x=-0.27, angular.z=0.00
[2026-04-24 11:19:04.926] PUBLISH -> linear.x=-0.24, angular.z=0.00
[2026-04-24 11:19:04.947] PUBLISH -> linear.x=-0.21, angular.z=0.00
[2026-04-24 11:19:04.968] PUBLISH -> linear.x=-0.18, angular.z=0.00
[2026-04-24 11:19:04.989] PUBLISH -> linear.x=-0.15, angular.z=0.00
[2026-04-24 11:19:05.010] PUBLISH -> linear.x=-0.12, angular.z=0.00
[2026-04-24 11:19:05.031] PUBLISH -> linear.x=-0.09, angular.z=0.00
[2026-04-24 11:19:05.052] PUBLISH -> linear.x=-0.06, angular.z=0.00
[2026-04-24 11:19:05.073] PUBLISH -> linear.x=-0.03, angular.z=0.00
[2026-04-24 11:19:05.094] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:05.114] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:05.135] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:05.156] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:05.177] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:05.198] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:05.219] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:05.240] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:05.261] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:05.282] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:05.302] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:05.323] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:05.344] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:05.365] PUBLISH -> linear.x=-0.06, angular.z=0.00
[2026-04-24 11:19:05.386] PUBLISH -> linear.x=0.00, angular.z=0.00
[2026-04-24 11:19:05.407] PUBLISH -> linear.x=0.06, angular.z=0.00
[2026-04-24 11:19:05.428] PUBLISH -> linear.x=0.12, angular.z=0.00
[2026-04-24 11:19:05.449] PUBLISH -> linear.x=0.18, angular.z=0.00
[2026-04-24 11:19:05.470] PUBLISH -> linear.x=0.24, angular.z=0.00
[2026-04-24 11:19:05.491] PUBLISH -> linear.x=0.30, angular.z=0.00
[2026-04-24 11:19:05.512] PUBLISH -> linear.x=0.36, angular.z=0.00
[2026-04-24 11:19:05.533] PUBLISH -> linear.x=0.42, angular.z=0.00
[2026-04-24 11:19:05.554] PUBLISH -> linear.x=0.48, angular.z=0.00
[2026-04-24 11:19:05.575] PUBLISH -> linear.x=0.45, angular.z=0.00
[2026-04-24 11:19:05.596] PUBLISH -> linear.x=0.42, angular.z=0.00
[2026-04-24 11:19:05.617] PUBLISH -> linear.x=0.39, angular.z=0.00
[2026-04-24 11:19:05.638] PUBLISH -> linear.x=0.36, angular.z=0.00
[2026-04-24 11:19:05.658] PUBLISH -> linear.x=0.33, angular.z=0.00
[2026-04-24 11:19:05.679] PUBLISH -> linear.x=0.30, angular.z=0.00
[2026-04-24 11:19:05.700] PUBLISH -> linear.x=0.27, angular.z=0.00
