[2026-04-25 14:16:33.017] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:33.038] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:33.060] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:33.081] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:33.104] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:33.125] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:33.146] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:33.168] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:33.189] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:33.211] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:33.232] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:33.253] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:33.274] PUBLISH -> linear.x=-0.15, angular.z=-0.00
[2026-04-25 14:16:33.295] KEY PRESS: LEFT
[2026-04-25 14:16:33.297] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.319] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.339] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.362] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.383] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.404] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.425] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.446] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.467] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.488] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.509] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.529] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.550] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.571] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.593] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.614] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.635] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.656] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.676] PUBLISH -> linear.x=-0.15, angular.z=0.50
[2026-04-25 14:16:33.697] PUBLISH -> linear.x=-0.15, angular.z=0.50
